,filename,tot_seconds,netpos_seconds,netpos_prop
298,16645260,185,-76,-0.41081081081081083
299,9082845,296,76,0.25675675675675674
300,36424020,587,108,0.1839863713798978
301,48102686,129,64,0.49612403100775193
302,61779761,203,27,0.1330049261083744
303,42319045,256,-20,-0.078125
304,17418845,410,97,0.23658536585365852
305,2721981,182,52,0.2857142857142857
306,62869112,335,178,0.5313432835820896
307,30118605,478,176,0.3682008368200837
308,22022710,530,173,0.3264150943396226
309,62320329,288,79,0.2743055555555556
310,34949127,213,-42,-0.19718309859154928
311,25975634,122,24,0.19672131147540983
312,17674460,342,69,0.20175438596491227
313,9032744,416,164,0.3942307692307692
314,62679280,89,38,0.42696629213483145
315,9441728,345,131,0.37971014492753624
316,307135,325,36,0.11076923076923077
317,4758256,190,83,0.4368421052631579
318,42062783,292,-26,-0.08904109589041095
319,15391486,234,52,0.2222222222222222
320,69430582,360,113,0.3138888888888889
321,3600799,304,79,0.2598684210526316
322,13182844,204,-7,-0.03431372549019608
323,17921378,229,4,0.017467248908296942
324,4874928,342,179,0.5233918128654971
325,42290179,377,82,0.21750663129973474
326,898740,237,138,0.5822784810126582
327,12284834,170,35,0.20588235294117646
328,66347033,172,139,0.8081395348837209
329,6303824,245,99,0.40408163265306124
330,202813,262,173,0.6603053435114504
331,4676508,206,46,0.22330097087378642
332,20864566,298,-53,-0.17785234899328858
333,34045172,290,-10,-0.034482758620689655
334,50106086,181,101,0.5580110497237569
335,58365406,286,116,0.40559440559440557
336,49835743,364,101,0.2774725274725275
337,30910219,582,48,0.08247422680412371
338,19686793,244,-4,-0.01639344262295082
339,804711,386,-6,-0.015544041450777202
340,1532154,514,97,0.188715953307393
341,18621827,361,142,0.39335180055401664
342,53390922,509,141,0.2770137524557957
343,7054891,218,18,0.08256880733944955
344,55528988,425,127,0.2988235294117647
345,13626657,496,190,0.38306451612903225
346,3647120,479,85,0.17745302713987474
347,37634322,95,20,0.21052631578947367
348,1606010,248,120,0.4838709677419355
349,18139998,439,146,0.3325740318906606
350,21826156,417,163,0.3908872901678657
351,52803583,285,15,0.05263157894736842
