filename,tot_seconds,netpos_seconds,netpos_prop,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike
43610577,232,17,0.0732758620689655,530454.0,5443.0,1137.0,30457.0,54036.0,5895.0,0.0,0.0,48238.0,0.0
50955550,337,116,0.344213649851632,864416.0,6294.0,2035.0,4674.0,10101.0,1004.0,0.0,0.0,39478.0,0.0
28072645,385,98,0.2545454545454545,962210.0,5928.0,2191.0,3439.0,16439.0,3322.0,0.0,20.0,26843.0,0.0
18516950,334,20,0.059880239520958,500256.0,6598.0,5893.0,1934.0,17362.0,1137.0,0.0,53.0,15094.0,0.0
14346055,236,69,0.2923728813559322,740622.0,5369.0,1458.0,23071.0,34095.0,9526.0,0.0,7.0,7235.0,0.0
25431227,210,-9,-0.0428571428571428,672487.0,5452.0,2707.0,3094.0,1670.0,1415.0,0.0,0.0,6811.0,0.0
37968831,267,45,0.1685393258426966,1757242.0,5427.0,5677.0,21377.0,38691.0,3741.0,0.0,0.0,44862.0,0.0
19303700,397,-61,-0.1536523929471032,541628.0,6170.0,4325.0,3645.0,11485.0,3546.0,0.0,74.0,15265.0,0.0
45076924,420,84,0.2,175876.0,5352.0,2412.0,850.0,2194.0,105.0,0.0,0.0,9329.0,0.0
28319682,384,84,0.21875,976629.0,5611.0,2023.0,2419.0,14474.0,1587.0,0.0,22.0,24429.0,0.0
16015162,242,29,0.1198347107438016,692861.0,5403.0,1801.0,27496.0,52374.0,5968.0,0.0,0.0,18738.0,0.0
4913902,408,51,0.125,169238.0,5084.0,457.0,7048.0,8076.0,5009.0,0.0,29.0,395.0,0.0
33411451,313,155,0.4952076677316294,1497737.0,5932.0,3120.0,5971.0,22255.0,7727.0,0.0,15.0,39354.0,0.0
38608626,235,37,0.1574468085106383,5676724.0,15467.0,4182.0,106936.0,38210.0,11844.0,0.0,0.0,148946.0,0.0
44736276,314,45,0.143312101910828,1405412.0,6358.0,3457.0,10920.0,42048.0,2830.0,0.0,6.0,74111.0,0.0
18154549,219,62,0.2831050228310502,804732.0,5683.0,3971.0,2525.0,12624.0,774.0,0.0,0.0,11859.0,0.0
12043402,226,-100,-0.4424778761061947,988853.0,5049.0,1359.0,8962.0,1063.0,2365.0,0.0,0.0,5661.0,0.0
36130889,117,15,0.1282051282051282,2565298.0,5110.0,8432.0,4878.0,1909.0,904.0,0.0,9.0,7899.0,0.0
3409342,295,84,0.2847457627118644,172232.0,4933.0,583.0,704.0,1894.0,341.0,0.0,122.0,54.0,0.0
21340495,485,156,0.3216494845360825,247981.0,5177.0,1404.0,462.0,46.0,151.0,0.0,0.0,396.0,0.0
36047709,221,153,0.6923076923076923,378983.0,4925.0,3651.0,13216.0,21296.0,2506.0,0.0,49.0,23055.0,0.0
17018746,224,149,0.6651785714285714,588073.0,4928.0,3137.0,14095.0,32289.0,3038.0,0.0,0.0,14673.0,0.0
